id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,score
001519c8,1279.0,1279.0,738.2866426169896,1,2557,640.0,1918.0,711.1634728197106,727.0,439.3596188484249,0,1539,315.0,1045.0,128.11615174032067,132.0,76.49837239600791,0,256,54.0,188.0,848180.7719984357,891716.0,395112.66596083215,4526,1801877,550929.0,1137349.0,848297.0187719985,891802.0,395105.68565532897,4557,1801969,551012.0,1137417.0,116.24677356276888,112.0,91.7973743446592,0,2259,90.0,135.0,586.9327073552425,51.0,4294.022274249603,-142.0,154136.0,-8.0,142.5,1283.2199608610567,234.0,6197.624733277014,-79.0,162192.0,131.0,568.5,1939.7795614722004,481.0,7370.623957739101,46.0,165317.0,303.0,1015.75,3253.976097178683,1035.0,9299.583211694367,110.0,165599.0,684.75,2401.5,6538.9799764428735,2725.0,13017.27598437587,276.0,168452.0,1809.0,6341.0,19634.90542144836,11620.0,23104.82609660229,3737.0,206199.0,7935.0,24120.0,62090.67643467643,55594.0,43489.017440316704,21001.0,321201.0,36312.0,69363.0,53,46,36,37,21,19,13,19,8,4,0,0,0,0,0,0,0.5586069893009662,0.4848287076951782,0.3794311625440525,0.3899709170591651,0.2213348448173639,0.2002553357871388,0.1370168086964634,0.2002553357871388,0.0843180361209005,0.0421590180604502,0.0,0.0,0.0,0.0,0.0,0.0,1528,256,25,26,5,15,10,0,0,0,1,0,0,1,0,0,0,0,0,4.9140625,100.93333333333334,304.8,17.066666666666666,51.2,3.8,0.8,5.2,0.0,0.0,0.0,0.0,53,8,12,8,6,8,1,4,4,2,0,0,0,0,0,0,0,46,6,6,2,8,5,6,3,4,2,4,0,0,0,36,7,7,8,6,3,1,0,3,1,0,0,0,0,37,11,10,2,6,2,3,1,1,1,0,0,0,0,0,21,4,4,3,3,0,3,3,0,1,0,0,0,19,3,3,3,3,0,4,0,2,1,0,0,0,13,5,1,2,1,2,0,1,1,0,0,0,0,0,19,5,2,5,3,1,0,0,2,0,0,0,8,1,1,3,1,0,1,0,1,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
0022f953,1227.5,1227.5,708.5531031616473,1,2454,614.25,1840.75,776.2057864710677,743.0,449.1331738570197,0,1676,458.25,1088.0,182.71475142624288,186.0,97.76309027760496,0,323,104.0,268.0,518855.347595762,407673.0,384959.4041770636,30623,1788842,215512.0,729347.25,518967.5688671557,407789.0,384952.7287962653,30853,1788969,215657.0,729461.0,112.22127139364304,115.0,55.43118918498115,0,1758,92.0,136.0,604.5474928658786,52.0,4897.30364137644,-166.0,145899.0,0.0,132.0,1320.880505709625,240.0,7175.684562978195,-77.0,155308.0,133.75,498.25,1990.9730722154225,443.0,8855.335020344512,53.0,158094.0,282.0,884.5,3332.6467946100447,938.0,11835.5139378823,124.0,159773.0,609.0,1608.0,6695.138707037643,2199.5,18659.101143172284,283.0,219032.0,1589.0,3627.75,20243.010313531355,7932.5,41394.62974067056,949.0,406600.0,5838.75,14417.5,68495.38360237893,31816.5,101911.77097774358,11720.0,574521.0,25557.0,66943.75,61,88,67,42,23,12,5,1,4,3,0,3,1,0,0,0,0.4489160428574668,0.6476165864173292,0.4930717192041029,0.3090897344264526,0.1692634259954383,0.0883113526932721,0.03679639695553,0.007359279391106,0.029437117564424,0.022077838173318,0.0,0.0303502595146878,0.0166946086459741,0.0,0.0,0.0,1675,324,35,45,7,13,18,3,0,0,0,4,6,2,0,0,0,4,0,4.074074074074074,127.92307692307692,238.42857142857144,24.923076923076923,46.285714285714285,2.7142857142857144,2.5384615384615383,6.428571428571429,0.0,0.0,0.3076923076923077,0.5714285714285714,61,8,12,19,11,5,1,1,0,1,2,0,1,0,0,0,0,88,11,27,16,13,10,3,3,0,2,1,0,0,1,67,17,19,14,10,4,2,1,0,0,0,0,0,0,42,11,13,9,2,1,3,0,1,1,0,0,1,0,0,23,7,6,3,3,1,3,0,0,0,0,0,0,12,1,5,4,1,1,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5
0042269b,2068.5,2068.5,1194.104685528032,1,4136,1034.75,3102.25,731.6117021276596,530.5,592.7697629541335,0,2291,323.75,998.25,194.77272727272728,193.0,108.93506753663294,0,404,114.0,277.0,828491.7751450677,759582.0,489500.7965653484,4441,1771219,409992.25,1206983.75,828593.6129110252,759674.5,489500.4387835343,4540,1771669,410099.75,1207068.25,101.8377659574468,94.0,82.38376611454355,0,3005,74.0,119.0,325.5204353083434,0.0,3937.359024531029,-250.0,153886.0,-32.0,65.0,748.5575713594582,104.0,5814.750601979623,-70.0,154810.0,61.0,208.0,1171.7684490684733,205.0,7394.192925316264,-17.0,165472.0,151.0,371.0,2018.6030016945049,436.0,9902.20955721466,148.0,166558.0,335.0,753.0,4138.6359670382935,1125.0,14481.116966422353,521.0,176275.0,838.0,1820.75,12659.315392109109,4263.5,25376.623031886134,2188.0,189654.0,3384.25,9355.75,42290.11199207136,23375.0,44099.56591313272,9783.0,207540.0,15167.25,48520.0,64,70,61,49,29,37,31,32,6,20,1,3,0,0,0,0,0.4552000225867865,0.4978750247042977,0.4338625215280308,0.3485125172930084,0.2062625102346376,0.2631625130579859,0.2204875109404747,0.2276000112933932,0.0426750021175112,0.1422500070583707,0.0091586391947601,0.0293325229329205,0.0,0.0,0.0,0.0,2587,409,32,40,11,20,18,0,0,0,0,1,2,0,0,0,0,1,0,5.312958435207824,128.4,234.27272727272728,20.4,37.18181818181818,2.727272727272727,1.05,3.636363636363636,0.0,0.0,0.05,0.0909090909090909,64,6,8,8,6,6,4,10,4,4,8,0,0,0,0,0,0,70,7,8,13,9,7,10,4,7,1,3,0,0,0,61,8,10,15,5,5,3,2,7,1,3,0,2,0,49,6,10,5,8,5,4,4,6,0,0,0,1,0,0,29,7,10,4,2,0,1,0,3,0,2,0,0,37,10,7,7,3,3,2,1,1,0,2,1,0,31,3,5,5,9,1,5,1,2,0,0,0,0,0,32,11,3,2,4,1,1,8,2,0,0,0,6,2,1,0,0,0,2,0,0,0,1,20,4,8,1,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
0059420b,778.5,778.5,449.322823813792,1,1556,389.75,1167.25,542.5372750642673,593.5,307.62720040596514,0,1047,266.75,794.0,103.61889460154242,108.5,61.882249996500704,0,206,49.0,155.0,785483.0263496144,848240.5,385205.01439878665,41395,1404394,464250.75,1120781.5,785604.8746786632,848405.5,385206.08125025616,41513,1404469,464369.75,1120883.0,121.84832904884318,110.0,113.76822550901367,0,806,77.0,142.25,754.648231511254,131.0,4242.152639079005,-516.0,101690.0,19.0,487.5,1566.4195624195625,583.5,5982.696008186057,1.0,143449.0,304.0,1231.5,2376.3766902768834,1107.0,7513.13071518466,2.0,147541.0,644.0,1956.0,3999.09671179884,2084.0,10015.872167698291,135.0,173922.0,1456.0,3515.0,8068.277490297542,4962.0,14426.535320513274,324.0,176195.0,3637.5,7171.75,24376.840760157276,18028.5,25050.44650201598,1451.0,186107.0,13968.75,26167.75,83031.00961538461,68752.5,45828.32202660793,38303.0,241697.0,56266.5,88167.0,44,31,43,19,22,23,2,2,3,1,1,7,0,0,0,0,0.5573525389947864,0.3926801979281449,0.544685435835814,0.2406749600204759,0.2786762694973932,0.2913433726563656,0.0253342063179448,0.0253342063179448,0.0380013094769172,0.0126671031589724,0.0163112016477061,0.1218936861522658,0.0,0.0,0.0,0.0,1154,207,24,17,3,14,3,0,0,0,0,0,0,1,0,0,0,0,0,4.57487922705314,81.5,384.0,14.857142857142858,69.0,5.333333333333333,0.2857142857142857,5.666666666666667,0.0,0.0,0.0,0.0,44,6,7,8,4,6,6,1,1,2,0,1,2,0,0,0,0,31,7,5,8,3,3,3,0,0,1,0,0,1,0,43,11,7,7,6,5,4,0,0,0,1,0,2,0,19,5,4,5,2,2,1,0,0,0,0,0,0,0,0,22,5,4,6,1,1,3,0,0,0,0,0,2,23,6,3,4,2,3,4,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
0075873a,1266.0,1266.0,730.7810889726143,1,2531,633.5,1898.5,600.0509679968392,630.0,341.7294091834081,0,1402,277.0,859.5,125.0829711576452,113.0,77.2550536256005,0,252,55.0,212.0,713354.1975503754,686588.0,405576.4090338523,78470,1662390,359852.0,946529.0,713478.1414460688,686728.0,405575.6317459898,78693,1662472,359881.5,946656.0,123.9438956934018,129.0,62.082012674388594,0,701,100.0,151.5,502.0948616600791,36.0,3896.20923714649,-158.0,110688.0,-5.0,128.0,1122.1755634638198,225.0,5619.567427059362,-77.0,111232.0,121.0,386.0,1739.5929588607594,415.0,6949.770562788927,43.0,112046.0,277.75,713.5,2974.6365795724464,819.5,9011.742042784796,104.0,112576.0,610.0,1549.75,6061.144783815946,2067.0,12766.098910571918,260.0,113681.0,1502.0,4636.0,18111.137944822072,10134.0,21843.51741271913,856.0,125377.0,6088.0,19485.0,60674.77910324969,49609.0,45517.8760185453,2947.0,281981.0,30511.0,69145.0,49,61,53,29,13,15,8,4,6,9,2,0,0,0,0,0,0.4811875669410959,0.5990294200695276,0.5204681846505732,0.2847844783937098,0.1276620075558009,0.1473023164105395,0.0785612354189544,0.0392806177094772,0.0589209265642158,0.0883813898463237,0.0252904736096628,0.0,0.0,0.0,0.0,0.0,1425,255,35,48,9,15,23,2,0,0,0,0,0,9,0,0,0,0,0,4.572549019607843,94.06666666666666,157.44444444444446,17.0,28.33333333333333,2.555555555555556,2.2666666666666666,5.333333333333333,0.0,0.0,0.0,0.0,49,3,15,11,9,2,3,3,0,1,2,0,0,0,0,0,0,61,11,10,13,5,6,5,3,3,2,2,1,0,0,53,12,15,10,8,0,1,1,0,2,3,1,0,0,29,6,9,7,2,3,1,0,0,0,1,0,0,0,0,13,7,1,2,2,0,1,0,0,0,0,0,0,15,5,4,4,0,2,0,0,0,0,0,0,0,8,0,1,2,2,0,1,1,1,0,0,0,0,0,4,1,2,0,0,0,1,0,0,0,0,0,6,1,3,1,0,0,1,0,0,0,0,9,3,0,2,1,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
0081af50,1106.0,1106.0,638.405043839724,1,2211,553.5,1658.5,662.5323383084577,667.0,409.6093704948651,0,1445,316.5,995.0,132.94255992763456,134.0,81.20882445728046,0,275,61.5,210.0,544339.1913161465,378996.0,484650.5779748612,42636,1778845,210033.5,566628.0,544420.5956580733,379095.0,484649.6723054766,42744,1778916,210140.0,566703.5,81.40434192672998,77.0,40.65305428584797,0,1102,63.0,96.0,704.2058823529412,112.0,6498.052509148023,-1026.0,160742.0,56.0,233.25,1487.797193300136,341.0,10420.411898160695,-538.0,270090.0,228.0,589.0,2271.7703804347825,621.5,13466.737262588307,163.0,270878.0,430.75,935.25,3841.432003626473,1137.0,18543.104689145443,331.0,329119.0,868.0,1610.0,7773.970013630168,2527.0,27563.77567605734,750.0,330210.0,2018.0,3434.0,23583.201283814764,8518.0,53167.90279588071,3155.0,336125.0,7069.0,11363.0,80492.41591662719,31165.0,109683.99926039756,20771.0,439248.0,28332.0,44728.0,59,50,62,38,31,7,5,3,8,4,1,0,0,0,0,0,0.5299498034990231,0.4491100029652737,0.5568964036769395,0.3413236022536081,0.2784482018384697,0.0628754004151383,0.0449110002965273,0.0269466001779164,0.0718576004744438,0.0359288002372219,0.0115662179875429,0.0,0.0,0.0,0.0,0.0,1446,275,22,14,4,11,3,0,0,0,0,0,0,0,0,0,0,1,0,4.24,130.54545454545453,360.75,25.0,68.75,3.5,0.3636363636363636,3.5,0.0,0.0,0.0909090909090909,0.25,59,12,3,17,12,6,2,2,0,3,1,1,0,0,0,0,0,50,5,13,14,4,5,0,3,0,4,2,0,0,0,62,14,15,11,6,10,1,0,2,1,1,0,0,0,38,8,6,9,11,1,2,0,1,0,0,0,0,0,0,31,12,6,5,2,4,2,0,0,0,0,0,0,7,0,3,2,1,1,0,0,0,0,0,0,0,5,2,0,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,8,2,2,1,0,3,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
0093f095,883.0,883.0,509.65592968851706,1,1765,442.0,1324.0,685.2283286118981,711.0,455.3639115485538,0,1438,216.0,1096.0,119.671388101983,116.0,72.38823351966136,0,242,55.0,184.0,354314.4577903683,331472.0,242048.21674987816,6572,1768065,163122.0,509019.0,354424.1756373938,331553.0,242044.56086982507,6810,1768197,163183.0,509139.0,109.71784702549576,110.0,37.01833130362483,0,501,85.0,132.0,888.8735827664399,71.0,7847.948375057399,-135.0,122688.0,-0.25,140.0,1876.485536018151,237.0,11088.776511874328,-22.0,123513.0,161.0,391.0,2857.418842224745,430.0,15422.09590664738,141.0,206861.0,325.0,664.25,4805.938068181818,840.0,22976.881995409098,327.0,289523.0,660.0,1165.25,9542.267806267806,1845.0,40763.87758371717,747.0,434377.0,1565.5,2835.5,24621.15850144092,6763.0,96562.37221619644,4093.0,978237.0,5455.0,9823.0,51906.88768768769,29586.0,117239.61577697894,17520.0,1168721.0,21631.0,45038.0,39,40,49,34,23,19,13,14,6,1,0,2,0,0,0,0,0.4366461056437062,0.4478421596345705,0.548606645552349,0.3806658356893849,0.257509241789878,0.212725025826421,0.1455487018812354,0.1567447558720996,0.0671763239451855,0.0111960539908642,0.0,0.0307822841616669,0.0,0.0,0.0,0.0,1435,243,26,23,5,15,6,0,0,0,0,1,0,2,0,0,0,1,0,4.901234567901234,94.73333333333332,286.2,16.2,48.6,3.8,0.6,4.6,0.0,0.0,0.0666666666666666,0.2,39,4,11,3,9,2,4,1,1,3,0,0,1,0,0,0,0,40,6,2,12,7,1,4,2,5,1,0,0,0,0,49,11,10,6,4,7,4,0,6,0,0,0,1,0,34,5,5,8,5,6,2,1,1,1,0,0,0,0,0,23,3,7,5,3,0,1,3,1,0,0,0,0,19,4,1,6,2,3,1,2,0,0,0,0,0,13,1,1,3,3,1,2,1,0,0,1,0,0,0,14,4,2,3,0,2,0,1,0,1,0,0,6,0,1,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
009e23ab,1177.0,1177.0,679.3969139366668,1,2353,589.0,1765.0,790.4453888652783,666.0,501.122290308201,0,1768,375.0,1211.0,154.29706757331067,144.0,93.48678321080848,0,308,72.0,238.0,487666.2923926902,452862.0,279593.81068045687,106549,1799221,307997.0,617311.0,487757.0480237994,452938.0,279591.2745827165,106650,1799303,308115.0,617361.0,90.75563110922226,91.0,41.934951692134895,0,803,72.0,110.0,628.9141156462586,77.0,7726.032219043798,-120.0,305373.0,8.0,170.0,1346.6975754997873,262.0,11125.158741052051,-4.0,305784.0,164.0,497.0,2062.903829787234,478.0,14025.835301771376,59.0,306031.0,333.0,786.0,3421.580919931857,939.5,18957.583154908112,122.0,306892.0,689.0,1390.0,6762.495518565941,2108.0,31296.341382061262,280.0,508584.0,1683.5,2895.0,20165.997417133018,7099.0,62587.271300830114,970.0,514742.0,6032.0,9260.5,56072.8632933866,25733.0,102276.55077314812,17186.0,661932.0,21952.0,34322.0,43,72,57,49,23,18,21,4,4,2,0,7,0,0,0,0,0.3620534447619695,0.6062290237874839,0.4799313104984248,0.4125725300775932,0.1936564937098907,0.1515572559468709,0.1768167986046828,0.0336793902104157,0.0336793902104157,0.0168396951052078,0.0,0.0810229649310195,0.0,0.0,0.0,0.0,1753,309,29,35,7,19,13,2,0,0,0,0,2,0,0,0,0,0,0,4.660194174757281,91.3157894736842,249.57142857142856,16.263157894736842,44.142857142857146,3.571428571428572,0.8947368421052632,5.0,0.0,0.0,0.0,0.0,43,4,9,11,2,3,4,5,1,1,1,0,1,0,0,0,0,72,9,13,13,20,3,4,4,2,1,1,0,2,0,57,9,14,14,8,6,3,3,0,0,0,0,0,0,49,11,18,7,2,3,3,1,0,0,0,0,4,0,0,23,2,7,4,4,0,1,5,0,0,0,0,0,18,3,3,5,1,4,1,0,0,1,0,0,0,21,2,4,1,10,2,1,0,0,1,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,4,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
00e048f1,793.0,793.0,457.6944031410769,1,1585,397.0,1189.0,664.4763406940064,679.0,396.027046191146,0,1308,321.0,1019.0,114.7627760252366,118.0,66.91791105953358,0,223,57.0,173.0,837617.3495268138,816998.0,345748.107950618,5273,1797305,575968.0,1083297.0,837692.3608832808,817059.0,345747.1395299131,5397,1797498,576031.0,1083393.0,75.01135646687698,69.0,33.244614848179324,0,613,61.0,80.0,1056.396464646465,191.5,8224.216013726922,-25.0,214541.0,124.75,390.0,2080.3404927353126,573.0,11257.28330989601,13.0,248661.0,389.0,1011.0,3103.534766118837,972.5,13688.684458926584,37.0,250961.0,695.0,1795.0,5145.169620253165,1894.0,18263.20993410632,122.0,311665.0,1364.0,3357.5,9639.516825396826,4539.0,24023.55418108026,326.0,327253.0,3344.5,7827.5,26278.48617363344,18558.0,30056.04864059392,8051.0,333936.0,13733.5,24759.5,81256.55286195286,66615.0,41598.14033926732,32877.0,363281.0,54934.0,93675.0,38,34,51,30,34,11,5,7,7,4,0,2,0,0,0,0,0.4380695503646943,0.3919569661157792,0.5879354491736688,0.3458443818668639,0.3919569661157792,0.1268096066845168,0.0576407303111439,0.0806970224356015,0.0806970224356015,0.0461125842489152,0.0,0.0316953337518994,0.0,0.0,0.0,0.0,1308,223,21,25,6,22,4,0,0,0,0,0,0,0,0,0,0,0,0,4.847533632286996,58.5,217.16666666666663,10.136363636363637,37.16666666666666,4.5,0.1818181818181818,4.166666666666667,0.0,0.0,0.0,0.0,38,0,9,7,7,8,3,0,1,1,1,0,1,0,0,0,0,34,7,3,8,6,4,2,2,0,2,0,0,0,0,51,9,5,13,4,11,2,2,2,1,1,0,1,0,30,5,4,8,1,6,1,0,3,2,0,0,0,0,0,34,5,2,8,9,3,3,1,0,1,2,0,0,11,5,3,2,1,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,7,3,2,0,2,0,0,0,0,0,0,0,7,0,4,1,0,1,0,0,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
00e1f05a,3913.5,3913.5,2259.315936295763,1,7826,1957.25,5869.75,1789.3512650140558,1844.0,1004.7737299284402,0,4110,870.25,2612.0,364.3521594684385,416.0,207.108616978256,0,739,156.0,503.0,884357.5039611551,888236.0,493354.2178517588,10731,1853533,507822.25,1249019.75,884450.8471760798,888300.0,493357.5828820048,10801,1853697,507890.0,1249108.5,93.34321492461028,71.0,198.8966897132204,0,11017,60.0,105.0,142.1676677316294,42.0,750.5097851662962,-226.0,20817.0,0.0,96.0,377.3328220858896,173.0,1212.9428904504173,-110.0,25280.0,100.0,282.0,612.1963441135115,315.0,1626.7185021378375,-69.0,41505.0,222.0,484.0,1076.445723053318,623.0,2308.2490488208337,89.0,54255.0,471.0,904.0,2231.2987461617195,1440.5,3519.568723678301,247.0,59827.0,1133.0,2014.25,6830.835941508466,5013.0,6355.735054199081,917.0,63703.0,4119.0,6978.75,22869.46945379239,19445.5,12832.270367182791,6880.0,103762.0,16024.0,23800.5,155,121,140,85,50,52,45,35,14,6,2,1,0,0,0,0,0.5690784224000297,0.4442483168413135,0.5140063170064785,0.3120752638967904,0.1835736846451708,0.1909166320309777,0.1652163161806537,0.1285015792516196,0.0514006317006478,0.0220288421574205,0.0094553817076601,0.0050471508354307,0.0,0.0,0.0,0.0,4110,742,41,78,7,25,37,0,0,2,0,4,0,11,0,0,0,4,0,4.533692722371968,163.44,586.2857142857143,29.68,106.0,4.428571428571429,2.16,11.142857142857142,0.0,0.0,0.16,0.5714285714285714,155,19,26,30,27,9,16,13,9,3,2,1,0,0,0,0,0,121,26,14,24,15,13,6,11,7,4,0,0,1,0,140,30,32,31,15,10,7,6,7,1,1,0,0,0,85,22,19,16,5,7,6,2,3,4,0,0,0,0,0,50,12,10,11,6,3,5,3,0,0,0,0,0,52,17,6,12,6,3,3,2,2,0,0,1,0,45,12,9,1,4,3,6,3,4,1,2,0,0,0,35,11,2,9,5,0,2,4,1,1,0,0,14,3,1,4,0,2,1,1,1,0,1,6,2,1,2,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
